id,total,total_possession,total_distribution,incidents_this_week,possession_this_week,distribution_this_week,incidents_last_week,possession_last_week,distribution_last_week,incidents_this_month,possession_this_month,distribution_this_month,incidents_last_month,incidents_last_month,distribution_last_month,cocaine_possession,cocaine_distribution,heroin_possession,heroin_distribution,class_c_possession,class_c_distribution,class_d_possession,class_d_distribution,class_e_possession,count
517,12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,1
409,12,5,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,1,0,0,0,1,0
687,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
589,12,7,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,1,1,1,0
654,11,4,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0
557,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
629,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0
158,11,7,3,0,0,0,1,0,1,1,0,1,0,0,0,1,0,3,0,0,1,2,2,1,0
198,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
541,11,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1
236,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0
733,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,0,1
545,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,1,0
539,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0
488,10,5,3,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,1,0,0,2,0,0,0
594,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,2,0,0
755,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0
192,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,2,0
74,10,6,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,2,0,1,0
640,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0
219,10,2,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0
287,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
407,9,4,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0,1,1,0,0
15,9,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,2,0,0,0,0,0,0
474,9,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
614,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
590,9,2,4,0,0,0,3,0,3,3,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0
561,9,4,2,0,0,0,0,0,0,2,0,2,0,0,0,2,1,1,0,0,0,0,0,1,1
686,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
502,9,3,3,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0
475,9,6,1,0,0,0,0,0,0,2,2,0,1,1,0,3,1,1,0,0,0,0,0,2,0
554,9,3,3,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,0,0,1,0,0,0
285,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0
477,9,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0
576,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,1,0,0,0
550,9,3,5,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,1,0,0,0,1,0,0
440,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,2,1,0,0
161,9,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0
279,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
356,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0
670,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1,1,0,0
707,9,3,2,0,0,0,0,0,0,0,0,0,3,1,1,2,1,0,0,0,0,0,0,0,0
624,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0
582,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
112,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0
197,8,3,4,0,0,0,0,0,0,4,2,2,0,0,0,0,1,0,0,0,0,1,2,1,0
447,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,2,0,0,0
288,8,3,3,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0
648,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
166,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0
722,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0
512,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0
597,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1
479,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,0,0
39,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0
633,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
229,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0
436,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,0
316,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
506,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0
390,8,3,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
389,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0
690,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0
665,7,6,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,0,0,0,1,0,0,0
463,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,1,0
524,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
529,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0
661,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
367,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0
283,7,4,3,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,3,0,0,0
261,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0
406,7,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
423,7,4,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0
96,7,4,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0
581,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0
863,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0
706,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0
382,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
185,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
459,7,4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0
143,7,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,1,0,0
210,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
410,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0
799,7,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
732,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1
895,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
342,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
24,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
525,7,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,3,1,0,0
95,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
496,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0
532,7,3,4,0,0,0,0,0,0,2,0,2,0,0,0,1,2,0,1,0,0,2,1,0,0
315,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
191,6,5,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,2,0
90,6,2,3,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,1,0,0
278,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
882,6,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,2,0,0,0
